Run_No,Pair_Index,Starting_City_Agent1,Starting_City_Agent2,Agent1_Path,Agent2_Path,Agent1_Benefit,Agent2_Benefit,Agent1_Cost,Agent2_Cost,Agent1_Payoff,Agent2_Payoff,Total_Benefit,Total_Payoff,Average_Payoff,Agent1_City_Count,Agent2_City_Count,Agent1_Timestamps,Agent2_Timestamps
10,1,1,5,"1, 2, 3, 4, 8,12,14,15,19,20","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,97,150,217,271,295,318,366,415.2,447.59,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
10,2,1,10,"1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18","10,12,14,15,19,20",2100,900,131.36,48.758,1968.64,851.242,3000,2819.882,1409.941,14,6,"0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8","0,65,88,136,185.2,217.59,243.79"
10,3,1,15,"1, 4, 5, 6, 7, 9,10,11,13,16,17,18","15, 2, 3, 8,12,14,19,20",1800,1200,94.2,63.758,1705.8,1136.242,3000,2842.042,1421.021,12,8,"0,21,63,97,114,156,223.1,282.7,320.9,370.1,396.9,423,471","0,75,128,170,194,217,269.4,301.79,318.79"
10,4,1,20,"1, 4, 5, 9,10,11,13,16,17,18","20, 2, 3, 6, 7, 8,12,14,15,19",1500,1500,78,80.518,1422,1419.482,3000,2841.482,1420.741,10,10,"0,21,63,75,142.1,201.7,239.9,289.1,315.9,342,390","0,58,111,149,166,226,250,273,321,370.2,402.59"
10,5,5,1,"5, 6, 7, 9,10,11,13,16,17,18","1, 2, 3, 4, 8,12,14,15,19,20",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,97,150,217,271,295,318,366,415.2,447.59,526.59"
10,6,5,10,"5, 9,11,13,16,17,18","10, 1, 2, 3, 4, 6, 7, 8,12,14,15,19,20",1050,1950,36.96,130.758,1013.04,1819.242,3000,2832.282,1416.141,7,13,"0,12,32.5,70.7,119.9,146.7,172.8,184.8","0,85,182,235,302,374,391,451,475,498,546,595.2,627.59,653.79"
10,7,5,15,"5, 6, 7,10,12,16,17,18","15, 1, 2, 3, 4, 8, 9,11,13,14,19,20",1200,1800,46.06,131.498,1153.94,1668.502,3000,2822.442,1411.221,8,12,"0,34,51,78,143,165.4,192.2,218.3,230.3","0,79,176,229,296,350,428,448.5,486.7,555.7,608.1,640.49,657.49"
10,8,5,20,"5, 6, 7, 9,10,11,13,16,17,18","20, 1, 2, 3, 4, 8,12,14,15,19",1500,1500,74.4,105.318,1425.6,1394.682,3000,2820.282,1410.141,10,10,"0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372","0,79,176,229,296,350,374,397,445,494.2,526.59"
10,9,10,1,"10,12,14,15,19,20","1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,16,17,18",900,2100,48.758,131.36,851.242,1968.64,3000,2819.882,1409.941,6,14,"0,65,88,136,185.2,217.59,243.79","0,97,150,217,259,293,310,370,448,468.5,506.7,555.9,582.7,608.8,656.8"
10,10,10,5,"10, 1, 2, 3, 4, 6, 7, 8,12,14,15,19,20","5, 9,11,13,16,17,18",1950,1050,130.758,36.96,1819.242,1013.04,3000,2832.282,1416.141,13,7,"0,85,182,235,302,374,391,451,475,498,546,595.2,627.59,653.79","0,12,32.5,70.7,119.9,146.7,172.8,184.8"
10,11,10,15,"10,12,16,17,18,19","15, 1, 2, 3, 4, 5, 6, 7, 8, 9,11,13,14,20",900,2100,47.46,142.658,852.54,1957.342,3000,2809.882,1404.941,6,14,"0,65,87.4,114.2,140.3,227.3,237.3","0,79,176,229,296,338,372,389,449,527,547.5,585.7,654.7,696.29,713.29"
10,12,10,20,"10, 1, 4, 5, 6, 7,12,16,17,18","20, 2, 3, 8, 9,11,13,14,15,19",1500,1500,79.74,97.658,1420.26,1402.342,3000,2822.602,1411.301,10,10,"0,85,106,148,182,199,244,266.4,293.2,319.3,398.7","0,58,111,153,231,251.5,289.7,358.7,406.7,455.9,488.29"
10,13,15,1,"15, 2, 3, 6, 7, 8,10,12,14,19,20","1, 4, 5, 9,11,13,16,17,18",1650,1350,101.058,56.76,1548.942,1293.24,3000,2842.182,1421.091,11,9,"0,75,128,166,183,243,315.5,380.5,403.5,455.9,488.29,505.29","0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8"
10,14,15,5,"15, 1, 2, 3, 4, 8,10,12,14,19,20","5, 6, 7, 9,11,13,16,17,18",1650,1350,122.458,53.16,1527.542,1296.84,3000,2824.382,1412.191,11,9,"0,79,176,229,296,350,422.5,487.5,510.5,562.9,595.29,612.29","0,34,51,93,113.5,151.7,200.9,227.7,253.8,265.8"
10,15,15,10,"15, 2, 3, 6, 7, 8,12,14,19,20","10, 1, 4, 5, 9,11,13,16,17,18",1500,1500,78.358,80.04,1421.642,1419.96,3000,2841.602,1420.801,10,10,"0,75,128,166,183,243,267,290,342.4,374.79,391.79","0,85,106,148,160,180.5,218.7,267.9,294.7,320.8,400.2"
10,16,15,20,"15, 2, 3, 6, 7, 8,12,14,19","20, 1, 4, 5, 9,10,11,13,16,17,18",1350,1650,78.28,101.954,1271.72,1548.046,3000,2819.766,1409.883,9,11,"0,75,128,166,183,243,267,290,342.4,391.4","0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77"
10,17,20,1,"20, 2, 3, 6, 7, 8,10,12,14,15,19","1, 4, 5, 9,11,13,16,17,18",1650,1350,103.218,56.76,1546.782,1293.24,3000,2840.022,1420.011,11,9,"0,58,111,149,166,226,298.5,363.5,386.5,434.5,483.7,516.09","0,21,63,75,95.5,133.7,182.9,209.7,235.8,283.8"
10,18,20,5,"20, 1, 2, 3, 4, 8,12,14,15,19","5, 6, 7, 9,10,11,13,16,17,18",1500,1500,105.318,74.4,1394.682,1425.6,3000,2820.282,1410.141,10,10,"0,79,176,229,296,350,374,397,445,494.2,526.59","0,34,51,93,160.1,219.7,257.9,307.1,333.9,360,372"
10,19,20,10,"20, 1, 2, 3, 4, 5, 6, 7, 8, 9,12,14,15","10,11,13,16,17,18,19",1950,1050,134.006,59.38,1815.994,990.62,3000,2806.614,1403.307,13,7,"0,79,176,229,296,338,372,389,449,527,582,605,653,670.03","0,59.6,97.8,147,173.8,199.9,286.9,296.9"
10,20,20,15,"20, 1, 4, 5, 9,10,11,13,16,17,18","15, 2, 3, 6, 7, 8,12,14,19",1650,1350,101.954,78.28,1548.046,1271.72,3000,2819.766,1409.883,11,9,"0,79,100,142,154,221.1,280.7,318.9,368.1,394.9,421,509.77","0,75,128,166,183,243,267,290,342.4,391.4"
